,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive
0,1043642349291823106,1043642349291823106,2018-09-22 23:25:00 UTC,2018-09-22,23:25:00,0,1015305939233189888,gmbankrupt,Ryan,,$TSLA bears be like: “these are all actors Tesla hired with their remaining cash to fake demand to pump the stock one last time”,en,[],[],[],6,10,70,[],['tsla'],https://twitter.com/gmbankrupt/status/1043642349291823106,False,https://twitter.com/TeslaBull/status/1043632469390458881,0,,,,,,,,[],,,,,0.6884681,0.29047903,0.021052795
1,1043638190014382080,1043638190014382080,2018-09-22 23:08:29 UTC,2018-09-22,23:08:29,0,258602317,kimpaquette,Kim Paquette 💫🦄 🇺🇦 🕊,,Anyone who thinks there is no demand for this car is either crazy or obstinate. #tesla #model3 $TSLA,en,[],[],[],12,13,161,"['tesla', 'model3']",['tsla'],https://twitter.com/kimpaquette/status/1043638190014382080,False,https://twitter.com/TeslaBull/status/1043632469390458881,0,,,,,,,,[],,,,,0.5726363,0.35092548,0.07643808
2,1043632469390458881,1043632469390458881,2018-09-22 22:45:45 UTC,2018-09-22,22:45:45,0,1037893101627498496,teslabull,TeslaBull,,#Tesla delivery center in Fremont today. Looks like they might have demand for a #model3 car or two. @GerberKawasaki @Gfilche  https://t.co/WjpDjzPT5y,en,"[{'screen_name': 'gerberkawasaki', 'name': 'ross gerber', 'id': '349249475'}, {'screen_name': 'gfilche', 'name': 'gali', 'id': '348844712'}]",[],['https://pbs.twimg.com/media/Dnu6MbXVsAAcJ6b.jpg'],24,62,306,"['tesla', 'model3']",[],https://twitter.com/TeslaBull/status/1043632469390458881,False,,1,https://pbs.twimg.com/media/Dnu6MbXVsAAcJ6b.jpg,,,,,,,[],,,,,0.0036148222,0.38574234,0.6106428
3,1043599586290483200,1043599586290483200,2018-09-22 20:35:05 UTC,2018-09-22,20:35:05,0,568621669,insideevs,InsideEVs,,"There are at least 11 reasons why @Tesla is leading the electric car charge. Among them, performance and safety. Check out the other reasons here -  https://t.co/rqilnHXEyU  https://t.co/IdAPsbliJ9",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['https://insideevs.com/11-reasons-why-tesla-best-ev/amp'],['https://pbs.twimg.com/media/DnucSiuXoAAsRAR.jpg'],5,34,139,[],[],https://twitter.com/InsideEVs/status/1043599586290483200,False,,1,https://pbs.twimg.com/media/DnucSiuXoAAsRAR.jpg,,,,,,,[],,,,,0.0025543892,0.067694545,0.92975086
4,1043593569901129728,1043593569901129728,2018-09-22 20:11:10 UTC,2018-09-22,20:11:10,0,568621669,insideevs,InsideEVs,,"Tesla Reportedly Sold Over 1,000 Model 3 Performance In Past 2 Weeks  https://t.co/ug6iZZIIzZ",en,[],['https://insideevs.com/tesla-sold-1000-model-3-performance-2-week/'],[],2,17,78,[],[],https://twitter.com/InsideEVs/status/1043593569901129728,False,,0,,,,,,,,[],,,,,0.008760105,0.7570403,0.23419951
5,1043586982809501696,1043586982809501696,2018-09-22 19:45:00 UTC,2018-09-22,19:45:00,0,236636515,lopezdoriga,Joaquín López-Dóriga,,"Es una carrera que muchos querían ver: entre jets, un Tesla y superdeportivos. ¿Quién ganó?   (VIDEO)    https://t.co/lnP6CLQ3or  https://t.co/9ChuXdLkep",es,[],['https://goo.gl/GtPaXY'],['https://pbs.twimg.com/media/Dnrc-zUUUAEeIU0.jpg'],9,72,159,[],[],https://twitter.com/lopezdoriga/status/1043586982809501696,False,,1,https://pbs.twimg.com/media/Dnrc-zUUUAEeIU0.jpg,,,,,,,[],,,,,0.02103022,0.8508107,0.12815909
6,1043564510450266113,1043561240054915077,2018-09-22 18:15:42 UTC,2018-09-22,18:15:42,0,364488011,realtimewwii,Second World War tweets from 1944,,"Tesla, now 84, is asking for $2,000,000 to build a prototype, but says he'll work alone &amp; will ""suffer no interference from experts"". So far the military has declined.  https://t.co/osH82MEeK4",en,[],['https://rense.com/general10/deathray.htm'],[],9,80,325,[],[],https://twitter.com/RealTimeWWII/status/1043564510450266113,False,,0,,,,,,,,[],,,,,0.22855985,0.69621605,0.0752241
7,1043561240054915077,1043561240054915077,2018-09-22 18:02:42 UTC,2018-09-22,18:02:42,0,364488011,realtimewwii,Second World War tweets from 1944,,"Report in the New York Times: inventor Nikola Tesla is offering the United States Army a ""teleforce death ray"" that he claims can melt airplane motors 250 miles away.  https://t.co/wPipoTg5CF",en,[],[],['https://pbs.twimg.com/media/Dnt5YUSX0AAEiCO.jpg'],26,284,812,[],[],https://twitter.com/RealTimeWWII/status/1043561240054915077,False,,1,https://pbs.twimg.com/media/Dnt5YUSX0AAEiCO.jpg,,,,,,,[],,,,,0.030470984,0.87059075,0.09893834
8,1043560537584427009,1043560537584427009,2018-09-22 17:59:55 UTC,2018-09-22,17:59:55,0,49573859,iamwill,will.i.am,,"Dear .@POTUS .@realDonaldTrump,   The USA needs to be better @ protecting our kids. U.S schools should be the best &amp; safest in the world. We need to be developing the next genius’s &amp; welcome in the next Tesla’s &amp; Einstein’s. This video shouldn’t be reality  https://t.co/zupc1OjRBO",en,"[{'screen_name': 'potus', 'name': 'president biden', 'id': '1349149096909668363'}, {'screen_name': 'realdonaldtrump', 'name': 'donald j. trump', 'id': '25073877'}]",['https://youtu.be/rPmcLzgnlo8'],[],15,76,323,[],[],https://twitter.com/iamwill/status/1043560537584427009,False,,0,,,,,,,,[],,,,,0.17692795,0.5594604,0.2636117
9,1043556129261916160,1043556129261916160,2018-09-22 17:42:24 UTC,2018-09-22,17:42:24,0,824107409723588608,itskimjava,It’s Kim Java,,"Meet Moonwalker. Just crossed 100 miles on this P100D.  The combination of comfort, visibility, performance, safety and efficiency are unmatched from any other automaker at any other price point. Model X is truly sublime! #LikeTesla #Tesla #ModelX #ModelS #Model3  https://t.co/bNzuweemiP",en,[],[],['https://pbs.twimg.com/media/Dnt0xODWkAIj6Da.jpg'],24,28,389,"['liketesla', 'tesla', 'modelx', 'models', 'model3']",[],https://twitter.com/ItsKimJava/status/1043556129261916160,False,,1,https://pbs.twimg.com/media/Dnt0xODWkAIj6Da.jpg,,,,,,,[],,,,,0.0033035295,0.023535112,0.9731612
10,1043551980772360193,1043551980772360193,2018-09-22 17:25:55 UTC,2018-09-22,17:25:55,0,216644462,fullychargeddan,FullyChargedDanCæsar🗯,,"There are two ~300 mile range #ElectricVehicles now that are much more affordable than #Tesla’s; please pass it on!  A Niro or a Kona + a #CleanEnergy tariff is great start if you’re interested in tackling #AirPollution which causes 400,000 premature deaths across EU yearly.  https://t.co/6gAWq4fXtv",en,[],[],"['https://pbs.twimg.com/media/Dntw_bqXsAAN7RL.jpg', 'https://pbs.twimg.com/media/Dntw_bmXoAANqWD.jpg']",34,185,454,"['electricvehicles', 'tesla', 'cleanenergy', 'airpollution']",[],https://twitter.com/FullyChargedDan/status/1043551980772360193,False,,1,https://pbs.twimg.com/media/Dntw_bqXsAAN7RL.jpg,,,,,,,[],,,,,0.0075929286,0.10561662,0.88679045
11,1043551750878199808,1043551750878199808,2018-09-22 17:25:00 UTC,2018-09-22,17:25:00,0,100731315,actualidadrt,RT en Español,,"La prueba definitiva: ¿Es más rápido un Tesla, un caza, una moto o un Fórmula 1?  Increíble video 🤩 ➡  https://t.co/mh5135YDv4",es,[],['https://es.rt.com/67au'],[],19,98,154,[],[],https://twitter.com/ActualidadRT/status/1043551750878199808,False,,0,,,,,,,,[],,,,,0.00875739,0.5866863,0.4045563
12,1043551632598822912,1043551632598822912,2018-09-22 17:24:32 UTC,2018-09-22,17:24:32,0,195009699,bonnienorman,Bonnie Norman 🌻,,It’s like Tesla knew I needed just the right jacket for today. #NotEmployee  https://t.co/OY8Cje4aZQ,en,[],[],['https://pbs.twimg.com/media/DntwrfNU8AEWWG7.jpg'],16,11,226,['notemployee'],[],https://twitter.com/bonnienorman/status/1043551632598822912,False,,1,https://pbs.twimg.com/media/DntwrfNU8AEWWG7.jpg,,,,,,,[],,,,,0.20884313,0.44894126,0.34221563
13,1043549013562163201,1043549013562163201,2018-09-22 17:14:07 UTC,2018-09-22,17:14:07,0,349249475,gerberkawasaki,Ross Gerber,,So many Tesla FUD fake accounts on Twitter it makes Russia look lazy.  When will the media really cover all the BS and lies posted about Tesla. And the people behind it. Here are a couple below. $tsla  https://t.co/2BE39EBurn,en,[],[],"['https://pbs.twimg.com/media/DntuSrjUwAITGlF.jpg', 'https://pbs.twimg.com/media/DntuSrjUcAAyOde.jpg']",12,18,125,[],['tsla'],https://twitter.com/GerberKawasaki/status/1043549013562163201,False,,1,https://pbs.twimg.com/media/DntuSrjUwAITGlF.jpg,,,,,,,[],,,,,0.88686025,0.10482848,0.008311123
14,1043541726927831040,1043541726927831040,2018-09-22 16:45:10 UTC,2018-09-22,16:45:10,0,349249475,gerberkawasaki,Ross Gerber,,@elonmusk the Gerber Kawasaki team stands ready to help deliver cars in MDR this week.  We have many experienced Tesla drivers and we’re great at training. Have someone reach out DM. 😊 $tsla,en,[],[],[],12,9,100,[],['tsla'],https://twitter.com/GerberKawasaki/status/1043541726927831040,False,,0,,,,,,,,[],,,,,0.0022670403,0.048700344,0.94903255
15,1043535350642233346,1043535350642233346,2018-09-22 16:19:50 UTC,2018-09-22,16:19:50,0,1450267062,goldfield,Mike,,"Tesla roadster in white, this really is the future  https://t.co/KWVoC36sjk",en,[],[],"['https://pbs.twimg.com/media/Dnth3YeU8AEOyg_.jpg', 'https://pbs.twimg.com/media/Dnth3YjUwAAF5Ba.jpg', 'https://pbs.twimg.com/media/Dnth3YhU8AALSgZ.jpg', 'https://pbs.twimg.com/media/Dnth3YfU4AExSlp.jpg']",45,723,3267,[],[],https://twitter.com/Goldfield/status/1043535350642233346,False,,1,https://pbs.twimg.com/media/Dnth3YeU8AEOyg_.jpg,,,,,,,[],,,,,0.0031655172,0.05413659,0.94269776
16,1043531405278367745,1043531405278367745,2018-09-22 16:04:09 UTC,2018-09-22,16:04:09,0,349249475,gerberkawasaki,Ross Gerber,,Beautiful #Tesla spec ad. Really inspiring. Check it out. $tsla,en,[],[],[],5,10,71,['tesla'],['tsla'],https://twitter.com/GerberKawasaki/status/1043531405278367745,False,https://twitter.com/chrisccollins/status/1043163246440710144,0,,,,,,,,[],,,,,0.0034412097,0.008401452,0.98815733
17,1043530533995732993,1043530533995732993,2018-09-22 16:00:41 UTC,2018-09-22,16:00:41,0,998140573008695296,28delayslater,🇺🇦 🦊 Earl of FrunkPuppy 🇺🇦,,Local Tesla Service center:    “Uh.....Elon. Swell idea but there are some real weirdos here. Like some guy keeps showing new owners how to take good pics of pets in frunks. Is this important?”  #frunkpuppy $TSLA  #Tesla,en,[],[],[],4,8,88,"['frunkpuppy', 'tesla']",['tsla'],https://twitter.com/28delayslater/status/1043530533995732993,False,,0,,,,,,,,[],,,,,0.5492533,0.41511053,0.035636313
18,1043530333159706625,1043530333159706625,2018-09-22 15:59:53 UTC,2018-09-22,15:59:53,0,565198801,teslainventory,Erik in DÆrik,,@elonmusk I was told to wear my #tesla merch when helping with new owner deliveries/orientation today. Hope this qualifies! Jk. I will not be wearing this. #teslamotors #model3 @Tesla  https://t.co/tySGF3v91L,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],['https://pbs.twimg.com/media/DntdTLCVAAIQdYf.jpg'],15,4,81,"['tesla', 'teslamotors', 'model3']",[],https://twitter.com/teslainventory/status/1043530333159706625,False,,1,https://pbs.twimg.com/media/DntdTLCVAAIQdYf.jpg,,,,,,,[],,,,,0.29736605,0.55127174,0.1513623
19,1043528617072807937,1043528617072807937,2018-09-22 15:53:04 UTC,2018-09-22,15:53:04,0,349249475,gerberkawasaki,Ross Gerber,,A first in business history as far as I can remember. Elon Musk rallies Tesla community to help with Q3 2018 deliveries. This is awesome. $tsla #model3   https://t.co/IzK7VoTut7,en,[],['https://apple.news/Ae1udNohUT2asfSXszdnJPg'],[],21,17,138,['model3'],['tsla'],https://twitter.com/GerberKawasaki/status/1043528617072807937,False,,0,,,,,,,,[],,,,,0.0019344165,0.015651345,0.9824143
20,1043526390111522816,1043526390111522816,2018-09-22 15:44:13 UTC,2018-09-22,15:44:13,0,732548050728701953,valueanalyst1,Yaman Tasdivar,,"If #Tesla is delivering 1,000 Model 3’s daily in the Bay Area alone, then let this be the last time the words “delivery bottleneck” are uttered, because Tesla has figured out a way to think outside the box and can scale it across the world.  $TSLA #NotSellingAShareBefore1250  https://t.co/g6bXgOsfIi",en,[],[],['https://pbs.twimg.com/tweet_video_thumb/DntZtkAW0AIZlZk.jpg'],8,7,79,"['tesla', 'notsellingasharebefore1250']",['tsla'],https://twitter.com/ValueAnalyst1/status/1043526390111522816,False,,1,https://pbs.twimg.com/tweet_video_thumb/DntZtkAW0AIZlZk.jpg,,,,,,,[],,,,,0.021180004,0.40226075,0.5765593
21,1043525277538611200,1043525277538611200,2018-09-22 15:39:48 UTC,2018-09-22,15:39:48,0,50643324,vishnu_narang,Vishnu Narang,,"Everyone has dreams that they wish came true one day! Many years ago, my obsession with @Tesla and @elonmusk turned into a dream - that I shall one day own a #Tesla !! With some hard work, 9 yrs later, across the globe it has come true! Thank you @Tesla &amp; @elonmusk ! Love this 🖤  https://t.co/sX0DDCX6bP",en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],"['https://pbs.twimg.com/media/DntYOl5UUAEZbGr.jpg', 'https://pbs.twimg.com/media/DntYRxIUUAAv90h.jpg']",27,31,340,['tesla'],[],https://twitter.com/vishnu_narang/status/1043525277538611200,False,,1,https://pbs.twimg.com/media/DntYOl5UUAEZbGr.jpg,,,,,,,[],,,,,0.0022614344,0.014520415,0.9832182
22,1043516611812974593,1043516611812974593,2018-09-22 15:05:22 UTC,2018-09-22,15:05:22,0,4852289459,theteslalife,TheTeslaLife,,Elon gets support from the Tesla Community! Many current Tesla owners offer help to educate new owners!  https://t.co/aW98VZwr0b  https://t.co/vTFN4RD5zv,en,[],['https://www.teslarati.com/elon-musk-tesla-community-q3-2018-deliveries/'],['https://pbs.twimg.com/media/DntQzhGVAAA834Z.jpg'],3,24,148,[],[],https://twitter.com/TheTeslaLife/status/1043516611812974593,False,,1,https://pbs.twimg.com/media/DntQzhGVAAA834Z.jpg,,,,,,,[],,,,,0.0022668198,0.06655733,0.93117577
23,1043510394801795072,1043510394801795072,2018-09-22 14:40:40 UTC,2018-09-22,14:40:40,0,2148233600,electrekco,Electrek.co,,Listen to the crazy sound of Tesla Semi electric truck prototype accelerating with a trailer | by @fredericlambert  https://t.co/lozLpeY3fF  https://t.co/UWRaHr4aDl,en,"[{'screen_name': 'fredericlambert', 'name': 'fred lambert', 'id': '38253449'}]",['https://electrek.co/2018/09/22/tesla-semi-electric-truck-prototype-crazy-sound-accelerating/'],['https://pbs.twimg.com/media/DntLLGNVAAAI_VV.jpg'],17,58,295,[],[],https://twitter.com/ElectrekCo/status/1043510394801795072,False,,1,https://pbs.twimg.com/media/DntLLGNVAAAI_VV.jpg,,,,,,,[],,,,,0.0061222236,0.4655617,0.52831584
