,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive
0,0,0,903029082002219008,903029082002219008,2017-08-30 22:58:05 UTC,2017-08-30,22:58:05,0,396238794,codewisdom,Programming Wisdom,,“Go is not meant to innovate programming theory. It’s meant to innovate programming practice.” – Samuel Tesla,en,[],[],[],5,76,225,[],[],https://twitter.com/CodeWisdom/status/903029082002219008,False,,0,,,,,,,,[],,,,,0.05452956,0.74606144,0.199409
1,1,1,903000872833216512,903000872833216512,2017-08-30 21:05:59 UTC,2017-08-30,21:05:59,0,2148233600,electrekco,Electrek.co,,Tesla solar roof tile connector system explained in new patent  https://t.co/gVcVvWW9rJ  https://t.co/wGOQ9DRhPV,en,[],['https://electrek.co/2017/08/30/tesla-solar-roof-tile-system-explained-patent/'],['https://pbs.twimg.com/media/DIgagDWW4AEGpj6.jpg'],1,27,89,[],[],https://twitter.com/ElectrekCo/status/903000872833216512,False,,1,https://pbs.twimg.com/media/DIgagDWW4AEGpj6.jpg,,,,,,,[],,,,,0.0055356245,0.8099687,0.18449563
2,2,2,902996757482758149,902996757482758149,2017-08-30 20:49:38 UTC,2017-08-30,20:49:38,0,19170866,heypariss,MAMA MARS,,As soon as I find out I'm preggo I'm buying the tesla SUV. Member this tweet .,en,[],[],[],2,20,217,[],[],https://twitter.com/HeyPariss/status/902996757482758149,False,,0,,,,,,,,[],,,,,0.054790463,0.76388705,0.18132253
3,3,3,902971190368550912,902971190368550912,2017-08-30 19:08:02 UTC,2017-08-30,19:08:02,0,33836629,karpathy,Andrej Karpathy,,We're hiring strong ML/CV/Roboticists for the Tesla Autopilot Vision team. We ship autonomy at scale. Join us: vision@tesla.com,en,[],[],[],179,1013,4294,[],[],https://twitter.com/karpathy/status/902971190368550912,False,,0,,,,,,,,[],,,,,0.003928169,0.28342468,0.712647
4,4,4,902939943139467265,902939943139467265,2017-08-30 17:03:52 UTC,2017-08-30,17:03:52,0,842352879746854913,juantomsmorale1,Juan Tomás,,Ya está terminado....... El Tesla Supercharger Manzanares Esperando su apertura....😍😉  @foroelectricos @slcuervo  https://t.co/BrrURXuvCh,es,"[{'screen_name': 'foroelectricos', 'name': 'forococheseléctricos', 'id': '31421025'}, {'screen_name': 'slcuervo', 'name': 'saul lopez', 'id': '57960896'}]",[],"['https://pbs.twimg.com/media/DIfjD0WXYAAuO0I.jpg', 'https://pbs.twimg.com/media/DIfjD0WW0AAHPlR.jpg']",15,55,186,[],[],https://twitter.com/JuanTomsMorale1/status/902939943139467265,False,,1,https://pbs.twimg.com/media/DIfjD0WXYAAuO0I.jpg,,,,,,,[],,,,,0.0023968539,0.055430867,0.9421723
5,5,5,902939494495739906,902939494495739906,2017-08-30 17:02:05 UTC,2017-08-30,17:02:05,0,16896485,inc,Inc.,,This email from Elon Musk to Tesla employees describes what great communication looks like.  https://t.co/Wv9HFqPbsK,en,[],['http://on.inc.com/2x5mQyx'],[],6,128,167,[],[],https://twitter.com/Inc/status/902939494495739906,False,,0,,,,,,,,[],,,,,0.0029039416,0.10751048,0.88958555
6,6,6,902938303812521985,902938303812521985,2017-08-30 16:57:22 UTC,2017-08-30,16:57:22,0,254110373,alsboringtweets,Al Hughes Dukes,,Pretty sure I just saw a guy delivering pizzas in a Tesla,en,[],[],[],21,5,92,[],[],https://twitter.com/Alsboringtweets/status/902938303812521985,False,,0,,,,,,,,[],,,,,0.111561455,0.70161885,0.18681969
7,7,7,902934030185885697,902934030185885697,2017-08-30 16:40:23 UTC,2017-08-30,16:40:23,0,2148233600,electrekco,Electrek.co,,Tesla is working on a dashcam feature using its Autopilot cameras  https://t.co/DazBX9nM7X  https://t.co/n07UllxPSp,en,[],['https://electrek.co/2017/08/30/tesla-dashcam-feature-autopilot-cameras/'],['https://pbs.twimg.com/media/DIfds93XYAESiQ9.jpg'],6,31,130,[],[],https://twitter.com/ElectrekCo/status/902934030185885697,False,,1,https://pbs.twimg.com/media/DIfds93XYAESiQ9.jpg,,,,,,,[],,,,,0.0034677794,0.8591122,0.13741997
8,8,8,902930541502017537,902930541502017537,2017-08-30 16:26:31 UTC,2017-08-30,16:26:31,0,436103176,teslaband,TESLA™,,Today 26 years ago #TESLA released Psychotic Supper! RT your favorite song and/or memory from this album/tour! #WednesdayWisdom @EddieTrunk  https://t.co/IakSJ82zKD,en,"[{'screen_name': 'eddietrunk', 'name': 'eddie trunk', 'id': '38314814'}]",[],"['https://pbs.twimg.com/media/DIfaY9VXoAEq1Fr.jpg', 'https://pbs.twimg.com/media/DIfaZ6UW0AETsrn.jpg']",45,37,191,"['tesla', 'wednesdaywisdom']",[],https://twitter.com/TeslaBand/status/902930541502017537,False,,1,https://pbs.twimg.com/media/DIfaY9VXoAEq1Fr.jpg,,,,,,,[],,,,,0.0030832526,0.29465675,0.7022601
9,9,9,902925210009034753,902925210009034753,2017-08-30 16:05:20 UTC,2017-08-30,16:05:20,0,1308211178,teslarati,TESLARATI,,Elon Musk hints at a Tesla dash cam feature to arrive soon -  https://t.co/nwtiQAEfXJ  https://t.co/GkMbYsgKOJ,en,[],['http://www.teslarati.com/elon-musk-hints-tesla-dashcam-feature-arrive-soon/'],['https://pbs.twimg.com/media/DIfVkNWXgAUmrNU.jpg'],3,21,103,[],[],https://twitter.com/Teslarati/status/902925210009034753,False,,1,https://pbs.twimg.com/media/DIfVkNWXgAUmrNU.jpg,,,,,,,[],,,,,0.0031105021,0.7092913,0.28759822
