,Unnamed: 0,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive
0,0,1181354595856965632,1181354595856965632,2019-10-07 23:44:18 UTC,2019-10-07,23:44:18,0,1016059981907386368,teslaownerssv,Tesla Owners Silicon Valley,,.@tesla and @elonmusk have redefined the luxury market forever. Ice companies got too comfortable for overcharging just based on their name brand and not adopting the future. Complacency kills. Cheers to a brighter and greener future.  https://t.co/QuZDhgd8AV,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}, {'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",['https://www.teslarati.com/tesla-effect-wreaks-havoc-europe-2nd-hand-luxury-car-market/'],[],3,14,74,[],[],https://twitter.com/teslaownersSV/status/1181354595856965632,False,,0,,,,,,,,[],,,,,0.14460479,0.27052045,0.5848748
1,1,1181353951486021632,1181353951486021632,2019-10-07 23:41:45 UTC,2019-10-07,23:41:45,0,1046956676304187392,facts_tesla,Not_an_Analyst🇺🇦,,Top electric car manufacturers in US by market share (YTD through September):  Tesla 78.5% GM 7.6% Nissan 5.3% VW/Audi 4.1%  $tsla #tesla  Source:  insideEVs (full EVs),en,[],[],[],4,33,177,['tesla'],['tsla'],https://twitter.com/facts_tesla/status/1181353951486021632,False,,0,,,,,,,,[],,,,,0.011084963,0.7069802,0.28193474
2,2,1181351729817800704,1181351729817800704,2019-10-07 23:32:55 UTC,2019-10-07,23:32:55,0,1465659204,bridgetkromhout,Bridget Kromhout,,"I still use vi every day. And yes, I realize it's vim these days, but... finger macros. (Also, I drove only stick shifts until @joelaha convinced me we should get a Tesla.) 😂",en,"[{'screen_name': 'joelaha', 'name': 'joe laha', 'id': '2393588311'}]",[],[],7,2,57,[],[],https://twitter.com/bridgetkromhout/status/1181351729817800704,False,https://twitter.com/freezydorito/status/1180790435721154560,0,,,,,,,,[],,,,,0.051885102,0.49650538,0.45160952
3,3,1181343753698570240,1181343753698570240,2019-10-07 23:01:13 UTC,2019-10-07,23:01:13,0,349249475,gerberkawasaki,Ross Gerber,,Can we get #ubereats and other food delivery apps for the tesla screen. Would be super cool if I could order food on the way home on my car. $TSLA @elonmusk,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],23,6,108,['ubereats'],['tsla'],https://twitter.com/GerberKawasaki/status/1181343753698570240,False,,0,,,,,,,,[],,,,,0.0049571097,0.1348457,0.8601973
4,4,1181335497496387584,1181335497496387584,2019-10-07 22:28:25 UTC,2019-10-07,22:28:25,0,565198801,teslainventory,Erik in DÆrik,,"New wheels for my AWD model 3 #tesla. Can't wait to show you what I did! Hehe. You'll never guess. Should go live Wednesday.  Btw, did you see my latest video on YouTube? I no longer have the SR+... Now I have this AWD.  https://t.co/cwDfRwmsdN",en,[],[],['https://pbs.twimg.com/media/EGTyXtnU4AMNs4b.jpg'],8,2,80,['tesla'],[],https://twitter.com/teslainventory/status/1181335497496387584,False,,1,https://pbs.twimg.com/media/EGTyXtnU4AMNs4b.jpg,,,,,,,[],,,,,0.002151395,0.0472839,0.9505647
5,5,1181334819264962561,1181334819264962561,2019-10-07 22:25:43 UTC,2019-10-07,22:25:43,0,1147518745369337858,firsttesla,Andrew,,Me 100 times a day... smh. #Tesla #OBSESSED #Model3 #Helpme #FirstTesla @elonmusk  https://t.co/ZV0HRT222t,en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}]",[],[],51,36,476,"['tesla', 'obsessed', 'model3', 'helpme', 'firsttesla']",[],https://twitter.com/FirstTesla/status/1181334819264962561,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1181334587647156224/pu/img/EBXxhMBwQeVvTd2B.jpg,,,,,,,[],,,,,0.033712845,0.14526148,0.82102567
6,6,1181334262022168576,1181334262022168576,2019-10-07 22:23:30 UTC,2019-10-07,22:23:30,0,155194213,victor_abarca,Victor Abarca,,"Que una persona a la que admiro tanto, incluso antes de dedicarme a esto de YouTube escriba este mensaje publico...es la mejor reafirmación que puedo tener❤️❤️  Eso sí @earcos, la próxima visita que haga a Madrid grabamos el “Probando chuches japonesas en tu Tesla con autopilot”",es,"[{'screen_name': 'earcos', 'name': 'eduardo arcos', 'id': '3968'}]",[],[],9,8,194,[],[],https://twitter.com/victor_abarca/status/1181334262022168576,False,https://twitter.com/earcos/status/1181331245764108288,0,,,,,,,,[],,,,,0.0102804145,0.2844946,0.70522505
7,7,1181328633987784706,1181328633987784706,2019-10-07 22:01:09 UTC,2019-10-07,22:01:09,0,2148233600,electrekco,Electrek.co,,"Ford copies Tesla Supercharger design, but it should copy its charging business model  https://t.co/7XIRYyBHIh by @fredericlambert  https://t.co/ApykUMikId",en,"[{'screen_name': 'fredericlambert', 'name': 'fred lambert', 'id': '38253449'}]",['https://electrek.co/2019/10/07/ford-copies-tesla-supercharger-design-should-copy-charging-business-model/'],['https://pbs.twimg.com/media/EGTsIeNXkAEzaFa.jpg'],6,40,197,[],[],https://twitter.com/ElectrekCo/status/1181328633987784706,False,,1,https://pbs.twimg.com/media/EGTsIeNXkAEzaFa.jpg,,,,,,,[],,,,,0.027516607,0.8958058,0.076677814
8,8,1181326950612123649,1181326950612123649,2019-10-07 21:54:27 UTC,2019-10-07,21:54:27,0,1034608210403942400,deansheikh1,Dean Sheikh,,Colorado Weekly Report 9/30-10/6  9/30 : 43 estimated deliveries  10/1-10/6 : 13 estimated deliveries   10/6 Inventory 57  1 transporter all week  Not worth my time to chart.  Expecting similar next week. Tesla has almost no US open orders right now.,en,[],[],[],3,4,60,[],[],https://twitter.com/DeanSheikh1/status/1181326950612123649,False,,0,,,,,,,,[],,,,,0.71852785,0.2667563,0.014715835
9,9,1181323319850651648,1181323319850651648,2019-10-07 21:40:02 UTC,2019-10-07,21:40:02,0,1060049746713182208,eliburton_,Eli Burton,,This has to been the coolest feature of any vehicle ever. Video by @EforElectric with @MyTeslaAdventur #tesla  https://t.co/uLWJX0mCrt,en,"[{'screen_name': 'eforelectric', 'name': 'e for electric', 'id': '834229333191299073'}, {'screen_name': 'myteslaadventur', 'name': 'my tesla adventure', 'id': '883960689584250880'}]",[],[],198,1587,8623,['tesla'],[],https://twitter.com/EliBurton_/status/1181323319850651648,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1181323224522489858/pu/img/iP3nngrRBtXA2wRi.jpg,,,,,,,[],,,,,0.0022870642,0.014507703,0.9832054
10,10,1181318082905509888,1181318082905509888,2019-10-07 21:19:13 UTC,2019-10-07,21:19:13,0,1689516060,vincent13031925,vincentyu.eth,,"Go ahead if you are enjoy spending $60-$95 gas money per pump, twice a week, $480-$760 monthly.   Glad to charge my Tesla Model 3 at home for like $6 per charge, $72 for a month. Even better now with Tesla Solar, it’s $0.  Start to save $:   https://t.co/9BtlTaEDKo  #Tesla #Model3  https://t.co/SXyMmxI8ma",en,[],['https://www.tesla.com/en_US/model3/design?referral=vincent68747&redirect=no#battery'],['https://pbs.twimg.com/media/EGTig3ZUUAEsgff.jpg'],15,33,234,"['tesla', 'model3']",[],https://twitter.com/vincent13031925/status/1181318082905509888,False,,1,https://pbs.twimg.com/media/EGTig3ZUUAEsgff.jpg,,,,,,,[],,,,,0.0067385,0.07443505,0.9188265
11,11,1181309198455463936,1181309198455463936,2019-10-07 20:43:55 UTC,2019-10-07,20:43:55,0,1374059611,teslany,Tesla New York,,"Tesla Semi gets ‘real world validation’ 🚛🔋🔌 “Morgan Stanley says the semi’s production schedule appears to be on track for 2020, &amp; that #Tesla should be able to compete with OEMs.”  https://t.co/hosJDtYCdd $TSLA #TeslaSemi #EV",en,[],['https://www.foxbusiness.com/lifestyle/tesla-semi-gets-real-world-validation'],[],4,20,82,"['tesla', 'teslasemi', 'ev']",['tsla'],https://twitter.com/TeslaNY/status/1181309198455463936,False,,0,,,,,,,,[],,,,,0.002745541,0.1935881,0.8036665
12,12,1181304743202824199,1181304743202824199,2019-10-07 20:26:13 UTC,2019-10-07,20:26:13,0,2391799280,segozavr,Гурьянов Сергей,,"Покупка Tesla производителя электродов и ультра конденсаторов #Maxwell и канадского производителя быстрозаряжаемых литий-ионных аккумуляторов #Hibar говорит о том, что компания идет по пути выпуска собственных батарей с гарантией в 1 миллион миль (1.600.000 км) пробега.",ru,[],[],[],3,88,174,"['maxwell', 'hibar']",[],https://twitter.com/Segozavr/status/1181304743202824199,False,,0,,,,,,,,[],,,,,0.05911959,0.84882873,0.09205173
13,13,1181302317934465024,1181302317934465024,2019-10-07 20:16:34 UTC,2019-10-07,20:16:34,0,1116353841908158464,spotted_model,@spotted_model,,"Very interesting must-read for those interested in FSD autonomy and scaling for AI learning: “Without producing any new cars, Tesla would drive 10 billion miles over the next 17 months. For Waymo, it would take 800 years.”  https://t.co/oud5BVdEY7",en,[],['https://seekingalpha.com/article/4295418-tesla-autonomy-possibility-fast-progress'],[],5,27,97,[],[],https://twitter.com/spotted_model/status/1181302317934465024,False,,0,,,,,,,,[],,,,,0.0035187493,0.13663484,0.8598464
14,14,1181298231881404416,1181298231881404416,2019-10-07 20:00:20 UTC,2019-10-07,20:00:20,0,255625022,rmuccioli,Rob Muccioli,,"Hi @elonmusk, It has been 48 days since my defective Model 3 has been picked up for return and I still have not received my $52,940 refund. The return was accepted, but your staff can’t tell me when I will get my money back....please help @Automotive_News @AutoweekUSA @Tesla",en,"[{'screen_name': 'elonmusk', 'name': 'elon musk', 'id': '44196397'}, {'screen_name': 'automotive_news', 'name': 'automotive news', 'id': '14628959'}, {'screen_name': 'autoweekusa', 'name': 'autoweek', 'id': '72861485'}, {'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],[],37,26,131,[],[],https://twitter.com/rmuccioli/status/1181298231881404416,False,,0,,,,,,,,[],,,,,0.8984138,0.0952124,0.006373784
