,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive
0,0,0,1270866540028743680,1270866540028743680,2020-06-10 23:52:49 UTC,2020-06-10,23:52:49,0,1308211178,teslarati,TESLARATI,,"Tesla officially begins Model Y international deliveries, starting with Canada  https://t.co/KoqsiIREao",en,[],['https://www.teslarati.com/tesla-model-y-canada-deliveries/?cc=2'],[],3,53,647,[],[],https://twitter.com/Teslarati/status/1270866540028743680,False,,0,,,,,,,,[],,,,,0.0025343634,0.54894453,0.44852117
1,1,1,1270866503710044160,1270866503710044160,2020-06-10 23:52:40 UTC,2020-06-10,23:52:40,0,709313,cfarivar,Cyrus Farivar,,Tesla keeps employees in dark on coronavirus risk: ‘Need to know’ only (by @chasedifelice)   https://t.co/ILsOGRwdi8,en,"[{'screen_name': 'chasedifelice', 'name': 'chase difeliciantonio', 'id': '1849892215'}]",['https://www.sfchronicle.com/business/article/Tesla-keeps-employees-in-dark-on-coronavirus-15331128.php'],[],5,21,63,[],[],https://twitter.com/cfarivar/status/1270866503710044160,False,,0,,,,,,,,[],,,,,0.3884911,0.59879136,0.012717471
2,2,2,1270861536387571712,1270861536387571712,2020-06-10 23:32:56 UTC,2020-06-10,23:32:56,0,1197762532372623360,imrealexclusive,Ms.Exclusive,,20 years old driving a 2020 Tesla. My Dream car since I was 10. I’m beyond blessed🥺❤️  https://t.co/R5vDC9roeA,en,[],[],[],417,1278,13438,[],[],https://twitter.com/ImRealExclusive/status/1270861536387571712,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1270861486974476288/pu/img/FqzaqAudVRrDr_rO.jpg,,,,,,,[],,,,,0.0023783771,0.0070051607,0.9906165
3,3,3,1270857167273259009,1270857167273259009,2020-06-10 23:15:34 UTC,2020-06-10,23:15:34,0,1175164547746844672,teslaownersebay,Tesla East Bay Club |Fremont| 🇺🇦🕊🦊,,Happy @Tesla Semi day! Last year they brought this 🔥 bad boy to the Shareholders meeting. Will we see Cybertruck and the Cyber Quad this year?  https://t.co/eUqRqKLAhm,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",[],"['https://pbs.twimg.com/media/EaL92kUU0AAcSo5.jpg', 'https://pbs.twimg.com/media/EaL92kXUwAATFK7.jpg']",5,19,142,[],[],https://twitter.com/TeslaOwnersEBay/status/1270857167273259009,False,,1,https://pbs.twimg.com/media/EaL92kUU0AAcSo5.jpg,,,,,,,[],,,,,0.002728399,0.02061449,0.97665703
4,4,4,1270853773368324097,1270853773368324097,2020-06-10 23:02:05 UTC,2020-06-10,23:02:05,0,3822221,snakajima,Satoshi Nakajima @NounsDAO 🇺🇦,,今日は、Tesla の株価総額がトヨタ自動車の株価総額を超えて、自動車業界 No.1 になった記念すべき日。  Tesla: $190.1B Toyota: $182.3B  ちなみに、下のグラフは、私が１１月の米国株式セミナーで「次のGAFA候補の一番はTesla」と宣言して以来の株価の動き。これからも乱高下は続くと思うので要注意  https://t.co/d0ua11i1tL,ja,[],[],['https://pbs.twimg.com/media/EaL5EaJUEAAlfM5.jpg'],4,130,485,[],[],https://twitter.com/snakajima/status/1270853773368324097,False,,1,https://pbs.twimg.com/media/EaL5EaJUEAAlfM5.jpg,,,,,,,[],,,,,0.02901037,0.88552123,0.085468404
5,5,5,1270853278436413440,1270853278436413440,2020-06-10 23:00:07 UTC,2020-06-10,23:00:07,0,14342661,caranddriver,Car and Driver,,.@Tesla's video shows what its Autopilot system sees:  https://t.co/ZZHBYlaZbf  https://t.co/rOgDkrSXGo,en,"[{'screen_name': 'tesla', 'name': 'tesla', 'id': '13298072'}]",['http://crdrv.co/M0ycUOL'],[],26,196,613,[],[],https://twitter.com/CARandDRIVER/status/1270853278436413440,False,,1,https://pbs.twimg.com/amplify_video_thumb/1270708624353046529/img/VFDKSMn7DzOCFGnu.jpg,,,,,,,[],,,,,0.0043520136,0.8718945,0.12375355
6,6,6,1270852679133097984,1270852679133097984,2020-06-10 22:57:44 UTC,2020-06-10,22:57:44,0,1689516060,vincent13031925,vincentyu.eth,,Tesla 1st Model Y In Canada 🇨🇦 Already Delivered On June 9th In Vancouver  Congratulation to all Canadian Model Y owners 🙌🏻🙌🏻❤️  https://t.co/yKIqLjzxFQ,en,[],['https://www.tesmanian.com/blogs/tesmanian-blog/tesla-1st-model-y-in-canada-already-delivered-on-june-9th-in-vancouver'],[],5,21,225,[],[],https://twitter.com/vincent13031925/status/1270852679133097984,False,,0,,,,,,,,[],,,,,0.0014584316,0.013527038,0.9850146
7,7,7,1270847952412688386,1270847952412688386,2020-06-10 22:38:57 UTC,2020-06-10,22:38:57,0,100731315,actualidadrt,RT en Español,,"VIDEO: El piloto automático de un Tesla esquiva a un cerdo por la noche y Elon Musk dice que sus coches tienen habilidades ""sobrehumanas""  https://t.co/4RCNhk7PJP",es,[],['https://es.rt.com/7msl'],[],8,51,149,[],[],https://twitter.com/ActualidadRT/status/1270847952412688386,False,,0,,,,,,,,[],,,,,0.016197875,0.866823,0.11697896
8,8,8,1270843826656157702,1270843826656157702,2020-06-10 22:22:34 UTC,2020-06-10,22:22:34,0,2241150253,rationaletienne,Pope of Muskanity,,"My $28,980 ($420 x 69) price target for Tesla shares remains unchanged.  The share price is never too high.  https://t.co/Il5lu662C4",en,[],[],['https://pbs.twimg.com/media/EaLxuSAXYAEB-jY.jpg'],21,20,329,[],[],https://twitter.com/RationalEtienne/status/1270843826656157702,False,,1,https://pbs.twimg.com/media/EaLxuSAXYAEB-jY.jpg,,,,,,,[],,,,,0.021159817,0.5381663,0.44067404
9,9,9,1270843814450802688,1270843690261475329,2020-06-10 22:22:31 UTC,2020-06-10,22:22:31,0,1095026374144901122,frank173869,Frank,,@elonmusk So are Tesla’s,en,[],[],[],5,1,389,[],[],https://twitter.com/frank173869/status/1270843814450802688,False,,0,,,,,,,,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,,0.03220816,0.7895528,0.17823897
