,Unnamed: 0,Unnamed: 0.1,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,negative,neutral,positive
0,0,0,1041456699792490496,1041456699792490496,2018-09-16 22:40:01 UTC,2018-09-16,22:40:01,0,2759706153,rjcito,RJcito,,So apparently Bussyboy soap has reached Tesla’s market value. Her mind.,en,[],[],[],0,10,133,[],[],https://twitter.com/rjcito/status/1041456699792490496,False,,0,,,,,,,,[],,,,,0.3105552,0.5677964,0.1216484
1,1,1,1041443253529272322,1041443253529272322,2018-09-16 21:46:35 UTC,2018-09-16,21:46:35,0,293664512,kimontare,franciscoj 🇪🇨,,"Jacques Ramirez, hermano de René Ramírez, ese mismo, el de TESLA, Yachay, LOES, el q dejó a + de 700.000 jóvenes sin Universidad. El ñaño compone canciones hechas hace 70 años, le cambió la letra con CHAU LENIN, imaginen tremendo intelectual ""revolucionario"" Y los borregos cantan",es,[],[],[],27,167,139,[],[],https://twitter.com/kimontare/status/1041443253529272322,False,https://twitter.com/karipapo/status/1041027521461055489,0,,,,,,,,[],,,,,0.024616348,0.8770272,0.09835643
2,2,2,1041441887478054912,1041441887478054912,2018-09-16 21:41:09 UTC,2018-09-16,21:41:09,0,18856867,zerohedge,zerohedge,,"FIRE CONTAINED AT TESLA GIGAFACTORY IN NEVADA, REUTERS SAYS",en,[],[],[],13,27,66,[],[],https://twitter.com/zerohedge/status/1041441887478054912,False,,0,,,,,,,,[],,,,,0.032416612,0.9183936,0.049189817
3,3,3,1041440239556866048,1041440239556866048,2018-09-16 21:34:36 UTC,2018-09-16,21:34:36,0,1570180292,dowdedward,Ed ☯️Free Thinker & Oracle,,$TSLA I met a CEO of a large telecom company at Four Seasons Maui Bar. Eventually told my thesis on Tesla. By end of convo he was horrified. He sits on a very large endowment fund board. He said nothing to me but I suspect he will scrutinize all his Managers that own Tesla... 😎,en,[],[],[],5,1,61,[],['tsla'],https://twitter.com/DowdEdward/status/1041440239556866048,False,,0,,,,,,,,[],,,,,0.2339834,0.5942931,0.17172346
4,4,4,1041438753301192706,1041438753301192706,2018-09-16 21:28:42 UTC,2018-09-16,21:28:42,0,164425558,jonerlichman,Jon Erlichman,,On this day in 2011: Snapchat founded  Years since being founded:  Snapchat: 7 years Uber: 9 years Twitter: 12 years Facebook: 14 years Tesla: 15 years Google: 20 years Netflix: 21 years Amazon: 24 years Apple: 42 years Microsoft: 43 years HP: 79 years IBM: 107 years  https://t.co/DHKS1L7F0L,en,[],[],['https://pbs.twimg.com/media/DnPvBcMXgAAjnJ-.jpg'],1,38,125,[],[],https://twitter.com/JonErlichman/status/1041438753301192706,False,,1,https://pbs.twimg.com/media/DnPvBcMXgAAjnJ-.jpg,,,,,,,[],,,,,0.012389926,0.867218,0.12039199
5,5,5,1041436083894943744,1041421552300916736,2018-09-16 21:18:06 UTC,2018-09-16,21:18:06,0,44196397,elonmusk,Elon Musk,,"@thereal_scottv Yeah, that’s our problem. Service &amp; parts supply in general will be the top Tesla priority after we get through the insane car delivery logistics of the next few weeks.",en,[],[],[],44,38,970,[],[],https://twitter.com/elonmusk/status/1041436083894943744,False,,0,,,,,,,,[],,,,,0.37581187,0.53021353,0.09397455
6,6,6,1041433271475691520,1041421552300916736,2018-09-16 21:06:55 UTC,2018-09-16,21:06:55,0,15808764,danfitzpatrick,"Stock Market Mentor, LLC",,"@enn_nafnlaus @elonmusk I’m not SHORT  Tesla stock. I am LONG a Model S and have been living with this idiot’s BS and broken promises for the past 4 years.  Any other questions, Brainiac? I’ll wait.",en,[],[],[],8,13,67,[],[],https://twitter.com/DanFitzpatrick/status/1041433271475691520,False,,0,,,,,,,,"[{'screen_name': 'enn_nafnlaus', 'name': 'Nafnlaus 🇺🇦 🇮🇸', 'id': '1153476318'}, {'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,,0.81496954,0.1548582,0.030172251
7,7,7,1041432923755307008,1041421552300916736,2018-09-16 21:05:32 UTC,2018-09-16,21:05:32,0,32349859,brendancastle,Brendan Castle,,"@elonmusk Are you serious? After 1 week with our NEW Tesla X, it broke down. With Tesla service Center for over a week. On the drive home it breaks down AGAIN. Now without a car AGAIN. How about you focus on your own customer service. Terrible",en,[],[],[],11,16,97,[],[],https://twitter.com/brendancastle/status/1041432923755307008,False,,0,,,,,,,,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,,0.94097257,0.051877677,0.007149786
8,8,8,1041426691745304577,1041426691745304577,2018-09-16 20:40:46 UTC,2018-09-16,20:40:46,0,2970405389,dasschwalbi,Schwalbe,,Den schrecklichen Diesel dank der „Umwelthilfe“ aus der Stadt verbannen und die Menschen damit enteignen. Aber einen tausende Jahren alten Wald abholzen und mit diesem Strom dann Tesla Autos aufladen.  Toll.,de,[],[],[],6,29,125,[],[],https://twitter.com/DasSchwalbi/status/1041426691745304577,False,,0,,,,,,,,[],,,,,0.060103487,0.80053663,0.13935988
9,9,9,1041426042345410564,1041421552300916736,2018-09-16 20:38:11 UTC,2018-09-16,20:38:11,0,858821604314316800,const_ptr,Scott Velasquez,,@elonmusk @elonmusk Part of the delay from what I’ve heard personally is the time to recieve the parts from Tesla.  Perhaps this could be iterated upon as well!,en,[],[],[],3,4,144,[],[],https://twitter.com/const_ptr/status/1041426042345410564,False,,0,,,,,,,,"[{'screen_name': 'elonmusk', 'name': 'Elon Musk', 'id': '44196397'}]",,,,,0.2126718,0.74778587,0.03954222
